url,file
https://www.python-course.eu/index.php,0.txt
https://www.python-course.eu/sql_python.php,1.txt
https://www.python-course.eu/mastermind.php,2.txt
https://www.python-course.eu/interactive.php,3.txt
https://www.python-course.eu/python_classes.php,4.txt
https://www.python-course.eu/dsgvo.php,5.txt
https://www.python-course.eu/python3_interactive.php,6.txt
https://www.python-course.eu/python_scores.php,7.txt
https://www.python-course.eu/towers_of_hanoi.php,8.txt
https://www.python-course.eu/python_books.php,9.txt
https://www.python-course.eu/text_classification_python.php,10.txt
https://www.python-course.eu/text_classification_introduction.php,11.txt
https://www.python-course.eu/turing_machine.php,12.txt
https://www.python-course.eu/finite_state_machine.php,13.txt
https://www.python-course.eu/linear_combinations.php,14.txt
https://www.python-course.eu/python3_magic_methods.php,15.txt
https://www.python-course.eu/python3_multiple_inheritance.php,16.txt
https://www.python-course.eu/python3_inheritance.php,17.txt
https://www.python-course.eu/pylons.php,18.txt
https://www.python-course.eu/dynamic_websites.php,19.txt
https://www.python-course.eu/dynamic_websites_wsgi.php,20.txt
https://www.python-course.eu/currying_in_python.php,21.txt
https://www.python-course.eu/networkx.php,22.txt
https://www.python-course.eu/pygraph.php,23.txt
https://www.python-course.eu/python_network_scanner.php,24.txt
https://www.python-course.eu/python3_properties.php,25.txt
https://www.python-course.eu/tkinter_mastermind.php,26.txt
https://www.python-course.eu/python3_class_and_instance_attributes.php,27.txt
https://www.python-course.eu/python3_object_oriented_programming.php,28.txt
https://www.python-course.eu/generators.php,29.txt
https://www.python-course.eu/python3_exception_handling.php,30.txt
https://www.python-course.eu/exception_handling.php,31.txt
https://www.python-course.eu/python3_list_comprehension.php,32.txt
https://www.python-course.eu/list_comprehension.php,33.txt
https://www.python-course.eu/count_function_calls.php,34.txt
https://www.python-course.eu/slots.php,35.txt
https://www.python-course.eu/abstract_classes.php,36.txt
https://www.python-course.eu/metaclasses.php,37.txt
https://www.python-course.eu/classes_and_type.php,38.txt
https://www.python-course.eu/python3_abstract_classes.php,39.txt
https://www.python-course.eu/python3_count_function_calls.php,40.txt
https://www.python-course.eu/python3_metaclasses.php,41.txt
https://www.python-course.eu/object_oriented_programming.php,42.txt
https://www.python-course.eu/python3_road_to_metaclasses.php,43.txt
https://www.python-course.eu/inheritance_example.php,44.txt
https://www.python-course.eu/road_to_metaclasses.php,45.txt
https://www.python-course.eu/python3_classes_and_type.php,46.txt
https://www.python-course.eu/python3_slots.php,47.txt
https://www.python-course.eu/python_in_a_nutshell.php,48.txt
https://www.python-course.eu/rapid_gui_programming_with_python.php,49.txt
https://www.python-course.eu/tkinter_events_binds.php,50.txt
https://www.python-course.eu/tkinter_menus.php,51.txt
https://www.python-course.eu/tkinter_layout_management.php,52.txt
https://www.python-course.eu/tkinter_dialogs.php,53.txt
https://www.python-course.eu/tkinter_text_widget.php,54.txt
https://www.python-course.eu/tkinter_variable_classes.php,55.txt
https://www.python-course.eu/tkinter_buttons.php,56.txt
https://www.python-course.eu/tkinter_sliders.php,57.txt
https://www.python-course.eu/tkinter_canvas.php,58.txt
https://www.python-course.eu/tkinter_entry_widgets.php,59.txt
https://www.python-course.eu/pandas_time_series.php,60.txt
https://www.python-course.eu/python3_time_and_date.php,61.txt
https://www.python-course.eu/tkinter_labels.php,62.txt
https://www.python-course.eu/tkinter_message_widget.php,63.txt
https://www.python-course.eu/tkinter_checkboxes.php,64.txt
https://www.python-course.eu/tkinter_radiobuttons.php,65.txt
https://www.python-course.eu/pandas_multi_level_indexing.php,66.txt
https://www.python-course.eu/pandas_python_binning.php,67.txt
https://www.python-course.eu/dealing_with_NaN_in_python.php,68.txt
https://www.python-course.eu/pandas_data_files.php,69.txt
https://www.python-course.eu/pandas_DataFrame.php,70.txt
https://www.python-course.eu/data_visualizations_with_pandas_and_python.php,71.txt
https://www.python-course.eu/image_processing_techniques.php,72.txt
https://www.python-course.eu/matplotlib_histograms.php,73.txt
https://www.python-course.eu/matplotlib_legends_and_annotations.php,74.txt
https://www.python-course.eu/matplotlib_contour_plot.php,75.txt
https://www.python-course.eu/synthetical_test_data_with_python.php,76.txt
https://www.python-course.eu/matplotlib_spines_and_ticks.php,77.txt
https://www.python-course.eu/matplotlib_multiple_figures.php,78.txt
https://www.python-course.eu/numpy_reading_writing.php,79.txt
https://www.python-course.eu/numpy_changing_dimensions.php,80.txt
https://www.python-course.eu/python_numpy_probability.php,81.txt
https://www.python-course.eu/numpy_numerical_operations_on_numpy_arrays.php,82.txt
https://www.python-course.eu/numpy_dtype.php,83.txt
https://www.python-course.eu/weighted_choice_and_sample.php,84.txt
https://www.python-course.eu/numpy_masking.php,85.txt
https://www.python-course.eu/python_image_processing.php,86.txt
https://www.python-course.eu/naive_bayes_classifier_scikit.php,87.txt
https://www.python-course.eu/naive_bayes_classifier_introduction.php,88.txt
https://www.python-course.eu/numpy_create_arrays.php,89.txt
https://www.python-course.eu/tensor_flow_introduction.php,90.txt
https://www.python-course.eu/machine_learning_with_scikit.php,91.txt
https://www.python-course.eu/Decision_Trees.php,92.txt
https://www.python-course.eu/Regression_Trees.php,93.txt
https://www.python-course.eu/confusion_matrix.php,94.txt
https://www.python-course.eu/neural_networks_backpropagation.php,95.txt
https://www.python-course.eu/neural_networks_with_scikit.php,96.txt
https://www.python-course.eu/neural_networks_with_dropout.php,97.txt
https://www.python-course.eu/neural_networks_with_python_numpy.php,98.txt
https://www.python-course.eu/machine_learning_terminology.php,99.txt
https://www.python-course.eu/python3_inheritance_example.php,100.txt
https://www.python-course.eu/k_nearest_neighbor_classifier.php,101.txt
https://www.python-course.eu/neural_network_mnist.php,102.txt
https://www.python-course.eu/neural_networks.php,103.txt
https://www.python-course.eu/python3_input.php,104.txt
https://www.python-course.eu/python3_iterable_iterator.php,105.txt
https://www.python-course.eu/python3_print.php,106.txt
https://www.python-course.eu/python_sets_example.php,107.txt
https://www.python-course.eu/python3_list_manipulation.php,108.txt
https://www.python-course.eu/python3_history_and_philosophy.php,109.txt
